1	1.781215916652082	1
0.5	2.1405531076312685	1
0	2.6394916421089616	2
-0.5	3.32737171378554	2
-1	4.272411613848037	3
-1.5	5.569264359451502	4
-2	7.349416086720714	6
-2.5	9.795599576305275	8
-3	13.161846256252606	11
-3.5	17.801424796551604	15
-4	24.205791078697942	21
-4.5	33.05890274223801	30
-5	45.31296635303866	41
-5.5	62.293556951817784	58
-6	85.82392362322692	80
-6.5	118.12795837535336	112
-7	160.66158439668945	156
-7.5	211.8454152961793	218
-8	266.5167935679915	305
-8.5	318.55553554461864	425
-9	363.74545479877287	593
-9.5	400.5118402086833	828
-10	429.15027435219685	1155
